depth_cm,TiCa_1,FeK_1,depth_cm2,TiCa_2,FeK_2,depth_cm3,TiCa_3,FeK_3,Depth_cm_4,TiCa4,FeK4,depth_cm5,TiCa5,FeK5
21.8,0.93,124.89,652.0,0.26,55.47,1299.6,0.44,82.35,1921.0,0.15,46.58,2540.6,0.25,50.48
22.0,0.74,120.62,652.2,0.31,55.33,1299.8,0.37,81.84,1921.2,0.17,46.44,2540.8,0.26,50.43
22.2,0.69,115.40,652.4,0.30,55.20,1300.0,0.40,82.42,1921.4,0.16,46.29,2541.0,0.28,50.34
22.4,0.57,109.85,652.6,0.24,55.21,1300.2,0.42,85.09,1921.6,0.15,46.12,2541.2,0.29,50.33
22.6,0.43,104.29,652.8,0.26,55.38,1300.4,0.44,90.29,1921.8,0.14,45.92,2541.4,0.29,50.43
22.8,0.49,99.29,653.0,0.25,55.66,1300.6,0.39,97.71,1922.0,0.14,45.73,2541.6,0.18,50.53
23.0,0.53,95.45,653.2,0.30,55.96,1300.8,0.49,105.97,1922.2,0.13,45.61,2541.8,0.27,50.48
23.2,0.69,93.25,653.4,0.33,56.24,1301.0,0.26,112.90,1922.4,0.13,45.65,2542.0,0.25,50.20
23.4,0.62,92.58,653.6,0.30,56.52,1301.2,0.73,116.55,1922.6,0.16,45.94,2542.2,0.23,49.75
23.6,0.80,93.08,653.8,0.25,56.81,1301.4,0.75,116.23,1922.8,0.14,46.47,2542.4,0.27,49.32
23.8,0.75,94.25,654.0,0.34,57.14,1301.6,0.72,112.62,1923.0,0.16,47.20,2542.6,0.16,49.08
24.0,0.54,95.61,654.2,0.26,57.51,1301.8,0.47,107.37,1923.2,0.15,48.01,2542.8,0.30,49.06
24.2,0.77,97.18,654.4,0.32,57.85,1302.0,0.41,102.32,1923.4,0.14,48.78,2543.0,0.26,49.11
24.4,0.78,99.07,654.6,0.32,58.06,1302.2,0.42,98.60,1923.6,0.15,49.38,2543.2,0.22,49.03
24.6,0.62,101.20,654.8,0.31,58.16,1302.4,0.48,96.22,1923.8,0.15,49.79,2543.4,0.28,48.71
24.8,0.70,103.33,655.0,0.32,58.24,1302.6,0.47,94.42,1924.0,0.17,50.00,2543.6,0.26,48.17
25.0,0.63,105.12,655.2,0.41,58.39,1302.8,0.46,92.56,1924.2,0.18,50.03,2543.8,0.26,47.64
25.2,0.61,106.29,655.4,0.39,58.70,1303.0,0.43,90.27,1924.4,0.17,49.95,2544.0,0.25,47.38
25.4,0.61,107.15,655.6,0.38,59.17,1303.2,0.40,87.66,1924.6,0.17,49.79,2544.2,0.29,47.60
25.6,0.56,108.84,655.8,0.35,59.67,1303.4,0.39,85.42,1924.8,0.15,49.58,2544.4,0.25,48.32
25.8,0.60,112.53,656.0,0.40,60.04,1303.6,0.41,84.17,1925.0,0.16,49.36,2544.6,0.27,49.51
26.0,0.42,118.47,656.2,0.39,60.14,1303.8,0.38,83.98,1925.2,0.15,49.15,2544.8,0.31,51.03
26.2,0.48,125.73,656.4,0.44,59.93,1304.0,0.42,84.41,1925.4,0.15,48.92,2545.0,0.37,52.54
26.4,0.59,132.52,656.6,0.40,59.43,1304.2,0.41,84.72,1925.6,0.15,48.62,2545.2,0.34,53.75
26.6,0.43,137.16,656.8,0.39,58.76,1304.4,0.46,84.25,1925.8,0.17,48.25,2545.4,0.26,54.37
26.8,0.46,138.80,657.0,0.36,58.12,1304.6,0.39,82.68,1926.0,0.14,47.88,2545.6,0.20,54.26
27.0,0.50,138.04,657.2,0.40,57.68,1304.8,0.38,80.31,1926.2,0.13,47.63,2545.8,0.26,53.45
27.2,0.41,135.96,657.4,0.36,57.57,1305.0,0.45,77.83,1926.4,0.16,47.58,2546.0,0.27,52.17
27.4,0.37,132.96,657.6,0.31,57.86,1305.2,0.44,76.03,1926.6,0.17,47.80,2546.2,0.24,50.71
27.6,0.47,128.69,657.8,0.34,58.46,1305.4,0.37,75.38,1926.8,0.20,48.27,2546.4,0.21,49.37
27.8,0.43,122.36,658.0,0.35,59.12,1305.6,0.33,75.97,1927.0,0.17,48.89,2546.6,0.25,48.37
28.0,0.23,113.75,658.2,0.37,59.56,1305.8,0.32,77.45,1927.2,0.18,49.61,2546.8,0.24,47.87
28.2,0.36,103.61,658.4,0.35,59.60,1306.0,0.44,79.13,1927.4,0.16,50.36,2547.0,0.22,47.89
28.4,0.23,93.62,658.6,0.34,59.21,1306.2,0.45,80.38,1927.6,0.22,51.13,2547.2,0.22,48.49
28.6,0.32,85.50,658.8,0.36,58.57,1306.4,0.33,80.71,1927.8,0.22,51.86,2547.4,0.25,49.70
28.8,0.29,80.08,659.0,0.37,57.94,1306.6,0.40,79.94,1928.0,0.18,52.44,2547.6,0.29,51.36
29.0,0.39,77.09,659.2,0.37,57.50,1306.8,0.40,78.32,1928.2,0.19,52.73,2547.8,0.42,53.15
29.2,0.28,75.65,659.4,0.35,57.30,1307.0,0.43,76.48,1928.4,0.20,52.59,2548.0,0.28,54.65
29.4,0.29,74.84,659.6,0.36,57.32,1307.2,0.50,75.13,1928.6,0.21,52.03,2549.2,0.48,55.49
29.6,0.24,73.89,659.8,0.45,57.48,1307.4,0.41,74.74,1928.8,0.20,51.16,2549.4,0.51,55.51
29.8,0.19,72.66,660.0,0.38,57.76,1307.6,0.43,75.43,1929.0,0.19,50.21,2549.6,0.45,54.87
30.0,0.21,71.33,660.2,0.42,58.18,1307.8,0.55,76.92,1929.2,0.17,49.44,2549.8,0.40,53.91
30.2,0.20,70.12,660.4,0.44,58.74,1308.0,0.54,78.58,1929.4,0.18,49.00,2550.0,0.46,52.95
30.4,0.17,69.11,660.6,0.44,59.41,1308.2,0.46,79.89,1929.6,0.17,48.93,2550.2,0.45,52.18
30.6,0.19,68.28,660.8,0.39,60.14,1308.4,0.47,80.58,1929.8,0.19,49.20,2550.4,0.44,51.60
30.8,0.24,67.79,661.0,0.44,60.87,1308.6,0.53,80.52,1930.0,0.18,49.70,2550.6,0.40,51.10
31.0,0.20,67.70,661.2,0.41,61.46,1308.8,0.53,79.66,1930.2,0.17,50.29,2550.8,0.36,50.65
31.2,0.17,67.95,661.4,0.45,61.75,1309.0,0.69,78.08,1930.4,0.19,50.81,2551.0,0.38,50.38
31.4,0.19,68.41,661.6,0.46,61.60,1309.2,0.61,75.97,1930.6,0.17,51.12,2551.2,0.47,50.34
31.6,0.16,68.78,661.8,0.43,61.00,1309.4,0.55,73.78,1930.8,0.21,51.12,2551.4,0.48,50.49
31.8,0.20,68.93,662.0,0.41,60.04,1309.6,0.42,72.20,1931.0,0.16,50.78,2551.6,0.45,50.74
32.0,0.20,69.17,662.2,0.44,58.92,1309.8,0.47,71.83,1931.2,0.20,50.19,2551.8,0.48,50.97
32.2,0.17,70.06,662.4,0.48,57.83,1310.0,0.58,72.73,1931.4,0.18,49.55,2552.0,0.44,51.07
32.4,0.19,71.99,662.6,0.46,56.94,1310.2,0.61,74.41,1931.6,0.17,49.04,2552.2,0.45,51.06
32.6,0.15,74.74,662.8,0.44,56.36,1310.4,0.65,76.09,1931.8,0.16,48.74,2552.4,0.45,50.99
32.8,0.19,77.28,663.0,0.43,56.07,1310.6,0.78,76.98,1932.0,0.15,48.62,2552.6,0.45,50.86
33.0,0.21,78.14,663.2,0.46,56.04,1310.8,0.69,76.64,1932.2,0.17,48.55,2552.8,0.49,50.75
33.2,0.17,76.42,663.4,0.43,56.20,1311.0,0.61,75.15,1932.4,0.20,48.50,2553.0,0.45,50.72
33.4,0.15,72.37,663.6,0.55,56.52,1311.2,0.60,72.90,1932.6,0.16,48.48,2553.2,0.58,50.86
33.6,0.19,67.38,663.8,0.48,56.95,1311.4,0.75,70.41,1932.8,0.14,48.62,2553.4,0.49,51.24
33.8,0.19,63.34,664.0,0.45,57.38,1311.6,0.58,68.16,1933.0,0.14,49.09,2553.6,0.50,51.81
34.0,0.18,61.67,664.2,0.40,57.74,1311.8,0.44,66.47,1933.2,0.16,49.95,2553.8,0.58,52.44
34.2,0.22,62.70,664.4,0.49,57.97,1312.0,0.53,65.39,1933.4,0.22,51.11,2554.0,0.51,52.93
34.4,0.17,65.66,664.6,0.49,58.01,1312.2,0.49,64.76,1933.6,0.17,52.29,2554.2,0.57,53.17
34.6,0.18,69.32,664.8,0.51,57.84,1312.4,0.45,64.36,1935.2,0.23,53.15,2554.4,0.62,53.25
34.8,0.23,72.56,665.0,0.44,57.52,1312.6,0.52,63.98,1935.4,0.17,53.44,2554.6,0.63,53.55
35.0,0.24,74.69,665.2,0.41,57.14,1312.8,0.52,63.62,1935.6,0.19,53.12,2554.8,0.60,54.47
35.2,0.25,75.75,665.4,0.44,56.77,1313.0,0.48,63.59,1935.8,0.19,52.40,2555.0,0.74,56.21
35.4,0.26,76.25,665.6,0.44,56.48,1313.2,0.53,64.32,1936.0,0.18,51.56,2555.2,0.80,58.58
35.6,0.27,76.89,665.8,0.45,56.32,1313.4,0.51,65.85,1936.2,0.20,50.83,2555.4,0.98,61.00
35.8,0.12,78.22,666.0,0.41,56.33,1313.6,0.53,67.78,1936.4,0.18,50.34,2555.6,0.91,62.79
36.0,0.11,80.55,666.2,0.40,56.53,1313.8,0.49,69.39,1936.6,0.20,50.04,2555.8,1.11,63.41
36.2,0.26,83.64,666.4,0.50,56.91,1314.0,0.49,69.93,1936.8,0.20,49.81,2556.0,0.83,62.78
36.4,0.25,86.78,666.6,0.60,57.32,1314.2,0.49,69.10,1937.0,0.16,49.57,2556.2,0.66,61.27
36.6,0.25,89.20,666.8,0.62,57.58,1314.4,0.43,67.16,1937.2,0.18,49.34,2556.4,0.81,59.55
36.8,0.31,90.17,667.0,0.61,57.54,1314.6,0.37,64.76,1937.4,0.16,49.17,2556.6,0.75,58.23
37.0,0.27,89.28,667.2,0.58,57.22,1314.8,0.44,62.65,1937.6,0.16,49.11,2556.8,0.71,57.61
37.2,0.28,86.63,667.4,0.52,56.75,1315.0,0.38,61.31,1937.8,0.19,49.14,2557.0,0.77,57.62
37.4,0.24,82.83,667.6,0.52,56.38,1315.2,0.40,60.83,1938.0,0.19,49.20,2557.2,0.82,58.00
37.6,0.20,78.85,667.8,0.46,56.30,1315.4,0.43,60.93,1938.2,0.18,49.26,2557.4,0.73,58.51
37.8,0.19,75.69,668.0,0.58,56.52,1315.6,0.44,61.21,1938.4,0.17,49.33,2557.6,0.69,58.98
38.0,0.21,74.10,668.2,0.54,56.98,1315.8,0.35,61.42,1938.6,0.15,49.38,2557.8,0.86,59.38
38.2,0.21,74.32,668.4,0.54,57.76,1316.0,0.36,61.47,1938.8,0.17,49.37,2558.0,0.75,59.73
38.4,0.26,75.84,668.6,0.56,58.91,1316.2,0.41,61.41,1939.0,0.19,49.27,2558.2,0.83,60.11
38.6,0.26,77.74,668.8,0.49,60.37,1316.4,0.39,61.29,1939.2,0.17,49.03,2558.4,0.77,60.62
38.8,0.24,79.04,669.0,0.39,61.87,1316.6,0.29,61.22,1939.4,0.17,48.68,2558.6,0.70,61.34
39.0,0.29,79.17,669.2,0.47,62.99,1316.8,0.35,61.28,1939.6,0.19,48.27,2558.8,0.71,62.26
39.2,0.27,78.10,669.4,0.50,63.33,1317.0,0.33,61.52,1939.8,0.18,47.88,2559.0,0.78,63.24
39.4,0.25,76.32,669.6,0.55,62.74,1317.2,0.34,61.89,1940.0,0.18,47.50,2559.2,0.87,64.10
39.6,0.30,74.61,669.8,0.69,61.46,1317.4,0.34,62.20,1940.2,0.16,47.15,2559.4,1.07,64.63
39.8,0.25,73.54,670.0,0.56,59.98,1317.6,0.42,62.25,1940.4,0.17,46.81,2559.6,0.86,64.75
40.0,0.31,73.41,670.2,0.49,58.71,1317.8,0.43,61.84,1940.6,0.17,46.57,2559.8,0.80,64.52
40.2,0.25,74.23,670.4,0.63,57.95,1318.0,0.50,60.91,1940.8,0.17,46.54,2560.0,0.73,64.16
40.4,0.31,75.78,670.6,0.66,57.71,1318.2,0.38,59.59,1941.0,0.16,46.85,2560.2,0.68,63.85
40.6,0.26,77.69,670.8,0.55,58.02,1318.4,0.41,58.08,1941.2,0.20,47.51,2560.4,0.68,63.62
40.8,0.27,79.65,671.0,0.52,59.29,1318.6,0.39,56.64,1941.4,0.21,48.35,2560.6,0.66,63.41
41.0,0.31,81.31,671.2,0.58,61.80,1318.8,0.41,55.54,1941.6,0.19,49.12,2560.8,0.56,63.13
41.2,0.29,82.23,671.4,0.67,65.22,1319.0,0.42,55.02,1941.8,0.22,49.61,2561.0,0.70,62.74
41.4,0.22,82.13,671.6,0.65,68.63,1319.2,0.36,55.18,1942.0,0.19,49.73,2561.2,0.78,62.37
41.6,0.27,80.98,671.8,0.58,70.85,1319.4,0.37,56.04,1942.2,0.21,49.52,2561.4,0.78,62.36
41.8,0.24,78.94,672.0,0.70,70.97,1319.6,0.37,57.43,1942.4,0.20,49.16,2561.6,0.85,63.05
42.0,0.21,76.31,672.2,0.62,68.97,1321.8,0.39,59.06,1942.6,0.20,48.78,2561.8,0.81,64.68
42.2,0.27,73.49,672.4,0.59,65.79,1322.0,0.34,60.55,1942.8,0.15,48.44,2562.0,0.68,67.13
42.4,0.23,70.88,672.6,0.60,62.67,1322.2,0.42,61.60,1943.0,0.16,48.11,2562.2,0.70,69.84
42.6,0.28,68.72,672.8,0.64,60.72,1322.4,0.37,62.14,1943.2,0.18,47.78,2562.4,0.30,72.02
42.8,0.23,67.35,673.0,0.65,60.37,1322.6,0.42,62.38,1943.4,0.14,47.44,2562.6,0.81,72.89
43.0,0.23,67.08,673.2,0.47,61.44,1322.8,0.38,62.61,1943.6,0.15,47.13,2562.8,1.01,72.08
43.2,0.21,68.09,673.4,0.67,63.29,1323.0,0.36,63.10,1943.8,0.14,46.92,2563.0,1.10,69.81
43.4,0.23,70.61,673.6,0.81,65.34,1323.2,0.44,63.94,1944.0,0.17,46.85,2563.2,1.41,66.80
43.6,0.41,74.84,673.8,0.88,67.15,1323.4,0.45,65.08,1944.2,0.17,46.88,2563.4,0.60,63.94
43.8,0.54,81.09,674.0,0.77,68.25,1323.6,0.43,66.32,1944.4,0.15,46.94,2563.6,0.80,61.94
44.0,0.58,89.81,674.2,0.73,68.29,1323.8,0.52,67.40,1944.6,0.15,46.96,2563.8,0.54,61.02
44.2,0.94,101.37,674.4,0.58,67.26,1324.0,0.42,68.07,1944.8,0.16,46.87,2564.0,0.65,60.98
44.4,0.99,115.37,674.6,0.55,65.45,1324.2,0.44,68.21,1945.0,0.16,46.64,2564.2,0.61,61.43
44.6,1.79,130.03,674.8,0.57,63.38,1324.4,0.48,67.82,1945.2,0.16,46.31,2564.4,0.55,61.91
44.8,1.44,142.39,675.0,0.58,61.55,1324.6,0.47,66.98,1945.4,0.16,45.93,2564.6,0.61,62.14
45.0,1.37,149.09,675.2,0.53,60.28,1324.8,0.40,65.82,1945.6,0.15,45.58,2564.8,0.59,61.95
45.2,1.20,147.90,675.4,0.51,59.64,1325.0,0.36,64.51,1945.8,0.15,45.31,2565.0,0.66,61.33
45.4,1.44,138.81,675.6,0.44,59.49,1325.2,0.44,63.27,1946.0,0.14,45.17,2565.2,0.57,60.45
45.6,1.11,124.42,675.8,0.49,59.58,1325.4,0.46,62.33,1946.2,0.14,45.18,2565.4,0.62,59.52
45.8,1.07,108.48,676.0,0.50,59.71,1325.6,0.42,61.91,1946.4,0.15,45.32,2565.6,0.50,58.66
46.0,0.97,94.43,676.2,0.48,59.74,1325.8,0.48,62.15,1946.6,0.15,45.55,2565.8,0.47,57.98
46.2,0.61,84.04,676.4,0.48,59.66,1326.0,0.42,63.11,1946.8,0.16,45.86,2566.0,0.50,57.52
46.4,0.81,77.19,676.6,0.33,59.55,1326.2,0.37,64.71,1947.0,0.18,46.27,2566.2,0.55,57.27
46.6,0.62,72.79,676.8,0.49,59.49,1326.4,0.45,66.63,1947.2,0.17,46.79,2566.4,0.48,57.22
46.8,0.67,69.89,677.0,0.44,59.52,1326.6,0.49,68.39,1947.4,0.15,47.47,2566.6,0.20,57.38
47.0,0.53,68.32,677.2,0.37,59.68,1326.8,0.49,69.52,1947.6,0.14,48.23,2566.8,0.45,57.81
47.2,0.47,68.06,677.4,0.48,59.97,1327.0,0.53,69.69,1947.8,0.19,48.94,2567.0,0.57,58.49
47.4,0.32,68.87,677.6,0.46,60.37,1327.2,0.35,68.87,1948.0,0.17,49.40,2567.2,0.56,59.38
47.6,0.30,70.05,677.8,0.54,60.89,1327.4,0.46,67.40,1948.2,0.16,49.50,2567.4,0.50,60.38
47.8,0.33,70.86,678.0,0.38,61.57,1327.6,0.47,65.84,1948.4,0.16,49.23,2567.6,0.46,61.34
48.0,0.41,70.84,678.2,0.46,62.38,1327.8,0.43,64.75,1948.6,0.14,48.78,2567.8,0.60,62.13
48.2,0.24,70.15,678.4,0.50,63.29,1328.0,0.42,64.41,1948.8,0.16,48.37,2568.0,0.45,62.70
48.4,0.19,69.38,678.6,0.52,64.24,1328.2,0.46,64.71,1949.0,0.16,48.16,2568.2,0.93,63.21
48.6,0.23,68.99,678.8,0.35,65.12,1328.4,0.42,65.19,1949.2,0.15,48.17,2568.4,0.62,63.93
48.8,0.28,69.09,679.0,0.44,65.80,1328.6,0.39,65.37,1949.4,0.17,48.24,2568.6,0.80,65.00
49.0,0.40,69.48,679.2,0.39,66.15,1328.8,0.42,65.10,1949.6,0.17,48.20,2568.8,0.92,66.31
49.2,0.27,69.98,679.4,0.58,66.07,1329.0,0.44,64.54,1949.8,0.14,47.97,2569.0,0.88,67.44
49.4,0.61,70.61,679.6,0.46,65.56,1329.2,0.37,64.06,1950.0,0.15,47.65,2569.2,1.12,67.84
49.6,0.93,71.54,679.8,0.41,64.73,1329.4,0.39,63.94,1950.2,0.15,47.39,2569.4,0.84,67.09
49.8,0.59,72.96,680.0,0.57,63.76,1329.6,0.38,64.17,1950.4,0.16,47.37,2569.6,0.62,65.29
50.0,0.57,74.68,680.2,0.57,62.83,1329.8,0.40,64.40,1950.6,0.17,47.62,2569.8,0.60,62.97
50.2,0.58,76.24,680.4,0.49,62.04,1330.0,0.46,64.27,1950.8,0.15,48.08,2570.0,0.64,61.15
50.4,0.70,77.13,680.6,0.43,61.44,1330.2,0.37,63.63,1951.0,0.15,48.55,2570.2,0.72,61.17
50.6,0.88,77.11,680.8,0.55,61.09,1330.4,0.39,62.69,1951.2,0.16,48.87,2570.4,0.59,63.81
50.8,0.57,76.22,681.0,0.41,61.04,1330.6,0.43,61.90,1951.4,0.14,48.95,2570.6,0.96,68.58
51.0,0.73,74.92,681.2,0.39,61.30,1330.8,0.41,61.68,1951.6,0.13,48.85,2570.8,1.25,73.98
51.2,0.93,74.32,681.4,0.46,61.80,1331.0,0.39,62.20,1951.8,0.13,48.67,2571.0,1.59,78.08
51.4,0.78,75.50,681.6,0.43,62.38,1331.2,0.41,63.47,1952.0,0.16,48.57,2571.2,1.22,79.37
51.6,1.32,78.88,681.8,0.52,62.79,1331.4,0.43,65.37,1952.2,0.15,48.64,2571.4,0.88,77.52
51.8,0.93,84.07,682.0,0.51,62.81,1331.6,0.35,67.67,1952.4,0.15,48.86,2571.6,0.76,73.59
52.0,0.95,89.93,682.2,0.44,62.33,1331.8,0.42,70.05,1952.6,0.16,49.15,2571.8,0.82,69.26
52.2,1.31,95.32,682.4,0.49,61.28,1332.0,0.39,72.00,1952.8,0.14,49.42,2572.0,0.82,65.95
52.4,1.56,99.61,682.6,0.38,59.77,1332.2,0.30,72.99,1953.0,0.15,49.64,2572.2,0.79,64.17
52.6,2.18,102.70,682.8,0.46,57.99,1332.4,0.31,72.66,1953.2,0.15,49.82,2572.4,0.81,63.64
52.8,2.02,104.87,683.0,0.36,56.23,1332.6,0.47,71.14,1953.4,0.15,49.98,2572.6,0.82,63.51
53.0,2.31,106.29,683.2,0.36,54.78,1332.8,0.39,68.98,1953.6,0.15,50.12,2572.8,0.79,63.15
53.2,1.52,106.99,683.4,0.29,53.92,1333.0,0.40,66.91,1953.8,0.16,50.20,2573.0,0.76,62.54
53.4,1.61,107.13,683.6,0.43,53.81,1333.2,0.41,65.41,1954.0,0.16,50.18,2573.2,0.67,61.72
53.6,1.70,107.07,683.8,0.44,54.38,1333.4,0.40,64.57,1954.2,0.17,50.03,2573.4,0.65,60.79
53.8,1.59,107.07,684.0,0.32,55.38,1333.6,0.42,64.09,1954.4,0.16,49.75,2573.6,0.62,59.90
54.0,2.87,107.53,684.2,0.34,56.54,1333.8,0.29,63.54,1954.6,0.16,49.31,2573.8,0.68,59.17
54.2,1.66,108.27,684.4,0.49,57.60,1334.0,0.34,62.74,1954.8,0.15,48.70,2574.0,0.64,58.65
54.4,2.18,108.71,684.6,0.40,58.41,1334.2,0.42,61.74,1955.0,0.16,47.96,2574.2,0.64,58.34
54.6,2.24,108.26,684.8,0.41,58.96,1334.4,0.37,60.75,1955.2,0.16,47.20,2574.4,0.48,58.18
54.8,1.59,106.89,685.0,0.36,59.35,1334.6,0.40,59.95,1955.4,0.15,46.61,2574.6,0.61,58.05
55.0,1.38,105.00,685.2,0.42,59.65,1334.8,0.38,59.47,1955.6,0.11,46.31,2574.8,0.60,57.85
55.2,1.54,102.74,685.4,0.50,59.89,1335.0,0.38,59.38,1955.8,0.13,46.32,2575.0,0.65,57.48
55.4,1.59,100.11,685.6,0.43,60.07,1335.2,0.45,59.75,1956.0,0.15,46.54,2575.2,0.66,56.99
55.6,0.85,97.21,685.8,0.48,60.28,1335.4,0.39,60.71,1956.2,0.15,46.81,2575.4,0.58,56.54
55.8,1.41,94.32,686.0,0.42,60.85,1335.6,0.38,62.33,1956.4,0.15,47.02,2575.6,0.42,56.36
56.0,0.97,91.95,686.2,0.37,62.05,1335.8,0.43,64.52,1956.6,0.15,47.14,2575.8,0.57,56.59
56.2,1.23,90.88,686.4,0.50,63.83,1336.0,0.44,66.88,1956.8,0.14,47.19,2576.0,0.58,57.22
56.4,1.34,91.25,686.6,0.42,65.72,1336.2,0.48,68.81,1957.0,0.14,47.21,2576.2,0.58,58.06
56.6,1.25,92.64,686.8,0.31,67.06,1336.4,0.43,69.71,1957.2,0.14,47.19,2576.4,0.56,58.90
56.8,1.31,94.48,687.0,0.39,67.32,1336.6,0.39,69.32,1957.4,0.14,47.09,2576.6,0.55,59.57
57.0,1.02,96.26,687.2,0.42,66.48,1336.8,0.41,67.93,1957.6,0.13,46.93,2576.8,0.50,59.98
57.2,0.93,97.98,687.4,0.39,65.16,1337.0,0.45,66.33,1957.8,0.11,46.81,2577.0,0.56,60.12
57.4,1.35,99.79,687.6,0.38,64.22,1337.2,0.43,65.41,1958.0,0.14,46.79,2577.2,0.47,60.05
57.6,1.67,101.52,687.8,0.40,64.40,1337.4,0.42,65.78,1958.2,0.12,46.86,2577.4,0.51,59.78
57.8,1.38,102.41,688.0,0.42,65.95,1337.6,0.41,67.35,1958.4,0.13,46.92,2577.6,0.64,59.35
58.0,1.32,101.49,688.2,0.44,68.50,1337.8,0.53,69.30,1958.6,0.16,46.82,2577.8,0.57,58.88
58.2,1.47,98.26,688.4,0.42,71.18,1338.0,0.48,70.58,1958.8,0.14,46.47,2578.0,0.57,58.51
58.4,1.34,93.10,688.6,0.45,73.13,1338.2,0.35,70.45,1959.0,0.12,45.93,2578.2,0.58,58.39
58.6,1.18,87.36,688.8,0.48,73.81,1338.4,0.43,68.82,1959.2,0.11,45.40,2578.4,0.45,58.59
58.8,1.24,82.52,689.0,0.46,73.08,1338.6,0.32,66.26,1959.4,0.10,45.07,2578.6,0.48,59.04
