/* DATA DESCRIPTION:
Citation:	Mulitza, Stefan; Chiessi, Cristiano Mazur; Schefuß, Enno; Lippold, Jörg; Wichmann, David; Antz, Benny; Mackensen, Andreas; Paul, André; Prange, Matthias; Rehfeld, Kira; Werner, Martin; Bickert, Torsten; Frank, Norbert; Kuhnert, Henning; Lynch-Stieglitz, Jean; Portilho-Ramos, Rodrigo Costa; Sawakuchi, André Oliveira; Schulz, Michael; Schwenk, Tilmann; Tiedemann, Ralf; Vahlenkamp, Maximilian; Zhang, Yancheng (2017): Age model of sediment core GeoB16202-2. PANGAEA, https://doi.org/10.1594/PANGAEA.877639, 
	In supplement to: Mulitza, Stefan; Schefuß, Enno; Chiessi, Cristiano Mazur; Lippold, Jörg; Wichmann, David; Antz, Benny; Mackensen, Andreas; Paul, André; Prange, Matthias; Rehfeld, Kira; Werner, Martin; Bickert, Torsten; Frank, Norbert; Kuhnert, Henning; Lynch-Stieglitz, Jean; Portilho-Ramos, Rodrigo Costa; Sawakuchi, André Oliveira; Schulz, Michael; Schwenk, Tilmann; Tiedemann, Ralf; Vahlenkamp, Maximilian; Zhang, Yancheng (2017): Synchronous and proportional deglacial changes in Atlantic meridional overturning and northeast Brazilian precipitation. Paleoceanography, https://doi.org/10.1002/2017PA003084
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: http://www.marum.de/en/)
Coverage:	LATITUDE: -1.908333 * LONGITUDE: -41.591667
	DATE/TIME START: 2012-02-22T15:41:00 * DATE/TIME END: 2012-02-22T15:41:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 7.63 m
Event(s):	GeoB16202-2 (053-2) * LATITUDE: -1.908333 * LONGITUDE: -41.591667 * DATE/TIME: 2012-02-22T15:41:00 * ELEVATION: -2248.0 m * Recovery: 7.73 m * LOCATION: Continental Slope Northeast Brazil * CAMPAIGN: MSM20/3 (AMADEUS) (URI: https://doi.org/10.2312/cr_msm20_3) * BASIS: Maria S. Merian (URI: https://en.wikipedia.org/wiki/RV_Maria_S._Merian) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: Geology, 773 cm
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html)
	AGE [ka BP] (Age) * GEOCODE * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html) * METHOD/DEVICE: Age, 14C calibrated, IntCal13 with Bacon 2.2 (Blaauw and Christen, 2011) * COMMENT: median
	Age, minimum/young [ka] (Age min) * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html) * METHOD/DEVICE: Age, 14C calibrated, IntCal13 with Bacon 2.2 (Blaauw and Christen, 2011) * COMMENT: Q0.025
	Age, maximum/old [ka] (Age max) * PI: Mulitza, Stefan (https://orcid.org/0000-0002-3842-1447, smulitza@marum.de, http://www.marum.de/Stefan_Mulitza.html) * METHOD/DEVICE: Age, 14C calibrated, IntCal13 with Bacon 2.2 (Blaauw and Christen, 2011) * COMMENT: Q0.975
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1524 data points
*/
Depth [m]	Age [ka BP]	Age min [ka]	Age max [ka]
1.09	8.753	8.487	9.201
1.10	8.789	8.504	9.285
1.11	8.824	8.518	9.390
1.12	8.859	8.531	9.516
1.13	8.900	8.551	9.571
1.14	8.939	8.567	9.622
1.15	8.976	8.582	9.705
1.16	9.010	8.599	9.804
1.17	9.042	8.611	9.915
1.18	9.081	8.635	9.947
1.19	9.121	8.656	9.982
1.20	9.159	8.673	10.020
1.21	9.197	8.689	10.089
1.22	9.231	8.705	10.167
1.23	9.271	8.728	10.193
1.24	9.312	8.749	10.235
1.25	9.350	8.769	10.275
1.26	9.388	8.789	10.319
1.27	9.427	8.809	10.372
1.28	9.469	8.837	10.401
1.29	9.509	8.860	10.438
1.30	9.551	8.884	10.476
1.31	9.589	8.904	10.515
1.32	9.627	8.923	10.568
1.33	9.667	8.954	10.596
1.34	9.709	8.987	10.624
1.35	9.752	9.010	10.656
1.36	9.791	9.035	10.689
1.37	9.827	9.057	10.733
1.38	9.867	9.096	10.753
1.39	9.909	9.126	10.771
1.40	9.952	9.151	10.789
1.41	9.992	9.181	10.815
1.42	10.030	9.211	10.863
1.43	10.073	9.254	10.879
1.44	10.116	9.288	10.898
1.45	10.158	9.321	10.923
1.46	10.195	9.356	10.949
1.47	10.234	9.389	10.991
1.48	10.275	9.438	11.008
1.49	10.317	9.489	11.024
1.50	10.357	9.530	11.047
1.51	10.398	9.568	11.078
1.52	10.436	9.605	11.114
1.53	10.475	9.668	11.127
1.54	10.513	9.715	11.142
1.55	10.553	9.767	11.161
1.56	10.590	9.809	11.184
1.57	10.630	9.848	11.214
1.58	10.666	9.928	11.227
1.59	10.702	10.005	11.244
1.60	10.738	10.066	11.260
1.61	10.775	10.123	11.279
1.62	10.811	10.170	11.311
1.63	10.843	10.257	11.328
1.64	10.876	10.333	11.348
1.65	10.909	10.401	11.365
1.66	10.944	10.461	11.385
1.67	10.978	10.514	11.413
1.68	11.012	10.592	11.430
1.69	11.051	10.660	11.453
1.70	11.089	10.715	11.477
1.71	11.127	10.756	11.498
1.72	11.154	10.781	11.528
1.73	11.180	10.809	11.552
1.74	11.204	10.831	11.576
1.75	11.229	10.853	11.610
1.76	11.252	10.868	11.655
1.77	11.274	10.885	11.706
1.78	11.295	10.908	11.724
1.79	11.318	10.926	11.748
1.80	11.342	10.944	11.771
1.81	11.364	10.958	11.803
1.82	11.387	10.974	11.840
1.83	11.409	10.999	11.855
1.84	11.434	11.022	11.878
1.85	11.457	11.041	11.904
1.86	11.481	11.060	11.931
1.87	11.503	11.077	11.967
1.88	11.528	11.109	11.983
1.89	11.553	11.136	11.997
1.90	11.580	11.158	12.017
1.91	11.604	11.177	12.040
1.92	11.628	11.195	12.066
1.93	11.651	11.226	12.079
1.94	11.675	11.255	12.097
1.95	11.698	11.281	12.118
1.96	11.723	11.304	12.138
1.97	11.745	11.324	12.167
1.98	11.768	11.352	12.178
1.99	11.792	11.378	12.191
2.00	11.815	11.399	12.214
2.01	11.839	11.420	12.237
2.02	11.861	11.436	12.264
2.03	11.881	11.452	12.277
2.04	11.901	11.466	12.297
2.05	11.919	11.480	12.318
2.06	11.937	11.495	12.349
2.07	11.956	11.508	12.376
2.08	11.975	11.524	12.397
2.09	11.994	11.537	12.416
2.10	12.012	11.547	12.439
2.11	12.030	11.560	12.467
2.12	12.047	11.570	12.499
2.13	12.065	11.585	12.514
2.14	12.083	11.602	12.530
2.15	12.101	11.616	12.550
2.16	12.117	11.630	12.577
2.17	12.132	11.643	12.606
2.18	12.151	11.658	12.623
2.19	12.168	11.675	12.636
2.20	12.185	11.690	12.657
2.21	12.201	11.704	12.678
2.22	12.217	11.717	12.701
2.23	12.235	11.732	12.716
2.24	12.253	11.751	12.728
2.25	12.270	11.767	12.745
2.26	12.289	11.780	12.765
2.27	12.308	11.794	12.789
2.28	12.325	11.814	12.801
2.29	12.343	11.828	12.815
2.30	12.361	11.844	12.833
2.31	12.380	11.859	12.849
2.32	12.398	11.870	12.874
2.33	12.415	11.887	12.886
2.34	12.434	11.904	12.898
2.35	12.451	11.918	12.910
2.36	12.468	11.934	12.928
2.37	12.485	11.950	12.949
2.38	12.503	11.968	12.958
2.39	12.522	11.990	12.968
2.40	12.540	12.007	12.984
2.41	12.556	12.024	12.998
2.42	12.572	12.039	13.016
2.43	12.591	12.058	13.026
2.44	12.608	12.076	13.036
2.45	12.625	12.093	13.051
2.46	12.643	12.112	13.063
2.47	12.658	12.129	13.083
2.48	12.675	12.153	13.094
2.49	12.694	12.173	13.103
2.50	12.710	12.195	13.114
2.51	12.728	12.213	13.132
2.52	12.744	12.230	13.145
2.53	12.761	12.256	13.153
2.54	12.778	12.277	13.162
2.55	12.796	12.300	13.171
2.56	12.813	12.322	13.187
2.57	12.828	12.341	13.200
2.58	12.845	12.365	13.207
2.59	12.860	12.390	13.217
2.60	12.878	12.412	13.228
2.61	12.895	12.435	13.241
2.62	12.912	12.456	13.258
2.63	12.929	12.494	13.265
2.64	12.946	12.526	13.273
2.65	12.963	12.555	13.283
2.66	12.981	12.582	13.292
2.67	12.998	12.606	13.309
2.68	13.017	12.644	13.319
2.69	13.034	12.678	13.327
2.70	13.051	12.709	13.337
2.71	13.070	12.738	13.353
2.72	13.088	12.763	13.370
2.73	13.108	12.808	13.381
2.74	13.128	12.843	13.394
2.75	13.149	12.872	13.413
2.76	13.171	12.894	13.434
2.77	13.194	12.917	13.458
2.78	13.226	12.947	13.488
2.79	13.256	12.973	13.530
2.80	13.284	12.998	13.582
2.81	13.310	13.016	13.654
2.82	13.335	13.034	13.727
2.83	13.370	13.060	13.765
2.84	13.403	13.083	13.812
2.85	13.434	13.105	13.873
2.86	13.466	13.122	13.944
2.87	13.496	13.139	14.021
2.88	13.536	13.170	14.051
2.89	13.575	13.195	14.078
2.90	13.612	13.217	14.124
2.91	13.647	13.237	14.174
2.92	13.680	13.256	14.250
2.93	13.717	13.287	14.272
2.94	13.753	13.313	14.293
2.95	13.789	13.337	14.324
2.96	13.826	13.361	14.359
2.97	13.859	13.382	14.407
2.98	13.897	13.421	14.432
2.99	13.934	13.460	14.455
3.00	13.970	13.491	14.491
3.01	14.006	13.526	14.524
3.02	14.040	13.554	14.568
3.03	14.072	13.606	14.585
3.04	14.102	13.658	14.604
3.05	14.134	13.701	14.626
3.06	14.167	13.739	14.657
3.07	14.200	13.778	14.688
3.08	14.226	13.835	14.705
3.09	14.253	13.886	14.727
3.10	14.282	13.922	14.754
3.11	14.313	13.952	14.781
3.12	14.344	13.977	14.822
3.13	14.369	14.002	14.847
3.14	14.394	14.024	14.871
3.15	14.418	14.042	14.899
3.16	14.440	14.059	14.936
3.17	14.464	14.075	14.985
3.18	14.486	14.090	15.009
3.19	14.507	14.107	15.032
3.20	14.530	14.122	15.062
3.21	14.552	14.135	15.098
3.22	14.572	14.146	15.133
3.23	14.595	14.162	15.154
3.24	14.614	14.180	15.174
3.25	14.635	14.196	15.197
3.26	14.655	14.207	15.233
3.27	14.674	14.219	15.264
3.28	14.695	14.237	15.280
3.29	14.716	14.250	15.300
3.30	14.736	14.261	15.324
3.31	14.755	14.277	15.352
3.32	14.775	14.291	15.385
3.33	14.795	14.306	15.407
3.34	14.815	14.321	15.424
3.35	14.837	14.335	15.444
3.36	14.858	14.346	15.467
3.37	14.877	14.361	15.494
3.38	14.897	14.377	15.509
3.39	14.916	14.392	15.520
3.40	14.937	14.406	15.540
3.41	14.957	14.417	15.562
3.42	14.977	14.430	15.592
3.43	14.997	14.449	15.607
3.44	15.017	14.466	15.621
3.45	15.038	14.481	15.640
3.46	15.058	14.495	15.662
3.47	15.078	14.508	15.685
3.48	15.096	14.527	15.701
3.49	15.117	14.544	15.720
3.50	15.137	14.556	15.735
3.51	15.157	14.568	15.756
3.52	15.176	14.584	15.782
3.53	15.195	14.605	15.795
3.54	15.215	14.627	15.804
3.55	15.232	14.648	15.823
3.56	15.250	14.662	15.838
3.57	15.270	14.679	15.859
3.58	15.289	14.697	15.871
3.59	15.310	14.714	15.887
3.60	15.329	14.732	15.903
3.61	15.349	14.755	15.924
3.62	15.368	14.770	15.944
3.63	15.388	14.795	15.955
3.64	15.407	14.813	15.970
3.65	15.428	14.832	15.989
3.66	15.447	14.851	16.004
3.67	15.465	14.867	16.025
3.68	15.486	14.891	16.038
3.69	15.506	14.911	16.051
3.70	15.527	14.929	16.066
3.71	15.546	14.954	16.081
3.72	15.567	14.969	16.101
3.73	15.586	14.997	16.112
3.74	15.605	15.019	16.125
3.75	15.626	15.038	16.135
3.76	15.646	15.060	16.148
3.77	15.665	15.078	16.164
3.78	15.686	15.109	16.174
3.79	15.707	15.130	16.183
3.80	15.727	15.153	16.196
3.81	15.749	15.169	16.210
3.82	15.769	15.188	16.225
3.83	15.789	15.217	16.236
3.84	15.809	15.247	16.248
3.85	15.829	15.275	16.262
3.86	15.848	15.297	16.276
3.87	15.869	15.318	16.294
3.88	15.887	15.358	16.303
3.89	15.906	15.386	16.312
3.90	15.925	15.408	16.324
3.91	15.944	15.430	16.339
3.92	15.965	15.452	16.356
3.93	15.981	15.486	16.365
3.94	15.999	15.514	16.374
3.95	16.019	15.539	16.383
3.96	16.038	15.564	16.397
3.97	16.055	15.589	16.414
3.98	16.070	15.616	16.423
3.99	16.087	15.648	16.429
4.00	16.103	15.669	16.440
4.01	16.120	15.686	16.454
4.02	16.138	15.703	16.469
4.03	16.149	15.717	16.478
4.04	16.160	15.731	16.488
4.05	16.171	15.742	16.500
4.06	16.182	15.756	16.517
4.07	16.192	15.770	16.531
4.08	16.202	15.779	16.538
4.09	16.212	15.790	16.548
4.10	16.222	15.800	16.560
4.11	16.232	15.808	16.572
4.12	16.241	15.817	16.585
4.13	16.251	15.830	16.594
4.14	16.260	15.841	16.604
4.15	16.268	15.850	16.616
4.16	16.278	15.858	16.628
4.17	16.287	15.867	16.642
4.18	16.296	15.877	16.650
4.19	16.305	15.884	16.663
4.20	16.314	15.894	16.677
4.21	16.323	15.900	16.687
4.22	16.332	15.908	16.699
4.23	16.340	15.918	16.708
4.24	16.348	15.928	16.717
4.25	16.358	15.937	16.729
4.26	16.367	15.945	16.743
4.27	16.376	15.953	16.756
4.28	16.385	15.961	16.765
4.29	16.393	15.970	16.774
4.30	16.401	15.978	16.785
4.31	16.409	15.987	16.794
4.32	16.418	15.997	16.803
4.33	16.428	16.006	16.812
4.34	16.437	16.013	16.818
4.35	16.446	16.021	16.829
4.36	16.455	16.031	16.842
4.37	16.463	16.039	16.851
4.38	16.472	16.050	16.859
4.39	16.481	16.059	16.872
4.40	16.491	16.068	16.881
4.41	16.499	16.077	16.889
4.42	16.507	16.084	16.899
4.43	16.516	16.096	16.903
4.44	16.525	16.105	16.914
4.45	16.533	16.115	16.923
4.46	16.542	16.124	16.932
4.47	16.551	16.132	16.942
4.48	16.560	16.143	16.948
4.49	16.569	16.152	16.956
4.50	16.579	16.162	16.965
4.51	16.588	16.170	16.972
4.52	16.596	16.177	16.981
4.53	16.605	16.188	16.987
4.54	16.614	16.198	16.995
4.55	16.622	16.206	17.002
4.56	16.632	16.216	17.012
4.57	16.640	16.226	17.020
4.58	16.650	16.234	17.027
4.59	16.658	16.243	17.034
4.60	16.667	16.252	17.043
4.61	16.675	16.259	17.052
4.62	16.685	16.267	17.063
4.63	16.694	16.278	17.070
4.64	16.704	16.285	17.076
4.65	16.712	16.295	17.082
4.66	16.722	16.304	17.091
4.67	16.731	16.312	17.101
4.68	16.741	16.323	17.108
4.69	16.751	16.333	17.114
4.70	16.760	16.343	17.120
4.71	16.769	16.354	17.128
4.72	16.779	16.364	17.139
4.73	16.789	16.375	17.145
4.74	16.799	16.387	17.152
4.75	16.807	16.397	17.160
4.76	16.816	16.406	17.171
4.77	16.824	16.416	17.181
4.78	16.834	16.433	17.190
4.79	16.843	16.447	17.197
4.80	16.852	16.460	17.204
4.81	16.861	16.474	17.214
4.82	16.869	16.483	17.223
4.83	16.878	16.495	17.228
4.84	16.887	16.508	17.235
4.85	16.896	16.518	17.243
4.86	16.904	16.528	17.252
4.87	16.913	16.537	17.261
4.88	16.922	16.551	17.269
4.89	16.931	16.563	17.275
4.90	16.941	16.575	17.283
4.91	16.950	16.586	17.291
4.92	16.959	16.595	17.300
4.93	16.968	16.605	17.307
4.94	16.978	16.617	17.314
4.95	16.986	16.625	17.322
4.96	16.996	16.634	17.329
4.97	17.005	16.644	17.336
4.98	17.013	16.654	17.344
4.99	17.022	16.665	17.351
5.00	17.032	16.677	17.359
5.01	17.040	16.686	17.368
5.02	17.047	16.695	17.377
5.03	17.057	16.707	17.382
5.04	17.065	16.716	17.391
5.05	17.074	16.722	17.399
5.06	17.083	16.730	17.408
5.07	17.091	16.738	17.418
5.08	17.100	16.747	17.426
5.09	17.109	16.754	17.434
5.10	17.117	16.763	17.443
5.11	17.125	16.770	17.453
5.12	17.134	16.776	17.463
5.13	17.142	16.784	17.470
5.14	17.150	16.792	17.476
5.15	17.158	16.799	17.484
5.16	17.166	16.807	17.493
5.17	17.173	16.815	17.504
5.18	17.182	16.823	17.511
5.19	17.190	16.831	17.520
5.20	17.199	16.838	17.529
5.21	17.208	16.844	17.536
5.22	17.217	16.851	17.549
5.23	17.225	16.860	17.554
5.24	17.234	16.867	17.562
5.25	17.241	16.875	17.570
5.26	17.249	16.883	17.578
5.27	17.257	16.891	17.588
5.28	17.265	16.901	17.596
5.29	17.272	16.910	17.601
5.30	17.279	16.918	17.609
5.31	17.287	16.927	17.618
5.32	17.294	16.934	17.626
5.33	17.303	16.942	17.632
5.34	17.311	16.951	17.638
5.35	17.320	16.961	17.647
5.36	17.328	16.969	17.656
5.37	17.337	16.975	17.665
5.38	17.345	16.982	17.672
5.39	17.353	16.990	17.679
5.40	17.361	17.001	17.687
5.41	17.370	17.010	17.695
5.42	17.377	17.017	17.705
5.43	17.385	17.025	17.710
5.44	17.392	17.034	17.715
5.45	17.400	17.040	17.721
5.46	17.407	17.047	17.731
5.47	17.415	17.054	17.739
5.48	17.423	17.063	17.745
5.49	17.430	17.070	17.750
5.50	17.437	17.076	17.758
5.51	17.444	17.082	17.765
5.52	17.451	17.088	17.774
5.53	17.458	17.098	17.781
5.54	17.466	17.107	17.788
5.55	17.475	17.115	17.793
5.56	17.482	17.123	17.801
5.57	17.490	17.132	17.808
5.58	17.498	17.144	17.815
5.59	17.505	17.155	17.821
5.60	17.513	17.165	17.827
5.61	17.521	17.173	17.835
5.62	17.529	17.183	17.843
5.63	17.537	17.193	17.847
5.64	17.545	17.204	17.854
5.65	17.553	17.212	17.860
5.66	17.561	17.219	17.865
5.67	17.569	17.228	17.874
5.68	17.577	17.240	17.879
5.69	17.585	17.250	17.886
5.70	17.593	17.259	17.893
5.71	17.601	17.267	17.902
5.72	17.609	17.274	17.910
5.73	17.618	17.285	17.915
5.74	17.626	17.295	17.919
5.75	17.634	17.303	17.925
5.76	17.643	17.309	17.933
5.77	17.651	17.319	17.941
5.78	17.659	17.331	17.948
5.79	17.667	17.340	17.954
5.80	17.675	17.350	17.960
5.81	17.684	17.358	17.968
5.82	17.692	17.366	17.975
5.83	17.698	17.378	17.981
5.84	17.706	17.387	17.987
5.85	17.715	17.398	17.992
5.86	17.723	17.407	17.999
5.87	17.731	17.416	18.007
5.88	17.739	17.431	18.013
5.89	17.747	17.441	18.018
5.90	17.755	17.454	18.024
5.91	17.763	17.465	18.031
5.92	17.771	17.477	18.038
5.93	17.779	17.488	18.044
5.94	17.788	17.502	18.051
5.95	17.797	17.514	18.058
5.96	17.804	17.524	18.066
5.97	17.814	17.536	18.075
5.98	17.823	17.550	18.080
5.99	17.833	17.562	18.087
6.00	17.842	17.573	18.093
6.01	17.851	17.583	18.100
6.02	17.861	17.593	18.107
6.03	17.871	17.605	18.116
6.04	17.880	17.615	18.127
6.05	17.890	17.624	18.137
6.06	17.899	17.631	18.149
6.07	17.909	17.638	18.167
6.08	17.919	17.649	18.176
6.09	17.929	17.657	18.189
6.10	17.938	17.665	18.204
6.11	17.948	17.671	18.219
6.12	17.957	17.678	18.233
6.13	17.967	17.686	18.242
6.14	17.977	17.694	18.256
6.15	17.986	17.702	18.272
6.16	17.996	17.711	18.287
6.17	18.006	17.719	18.302
6.18	18.017	17.727	18.312
6.19	18.027	17.736	18.322
6.20	18.037	17.743	18.332
6.21	18.047	17.749	18.346
6.22	18.057	17.758	18.361
6.23	18.066	17.767	18.371
6.24	18.076	17.776	18.382
6.25	18.086	17.783	18.392
6.26	18.095	17.789	18.406
6.27	18.105	17.796	18.419
6.28	18.115	17.807	18.428
6.29	18.124	17.817	18.438
6.30	18.134	17.824	18.449
6.31	18.145	17.833	18.461
6.32	18.154	17.841	18.478
6.33	18.164	17.854	18.486
6.34	18.173	17.865	18.493
6.35	18.183	17.875	18.502
6.36	18.193	17.882	18.511
6.37	18.203	17.890	18.524
6.38	18.212	17.901	18.530
6.39	18.222	17.911	18.537
6.40	18.233	17.919	18.545
6.41	18.243	17.928	18.556
6.42	18.252	17.935	18.566
6.43	18.261	17.948	18.575
6.44	18.271	17.957	18.581
6.45	18.282	17.966	18.591
6.46	18.292	17.975	18.599
6.47	18.301	17.985	18.613
6.48	18.312	17.998	18.619
6.49	18.322	18.009	18.628
6.50	18.332	18.018	18.637
6.51	18.342	18.027	18.646
6.52	18.351	18.036	18.659
6.53	18.361	18.050	18.665
6.54	18.371	18.061	18.673
6.55	18.381	18.072	18.683
6.56	18.391	18.083	18.692
6.57	18.401	18.091	18.703
6.58	18.412	18.108	18.709
6.59	18.423	18.120	18.719
6.60	18.433	18.134	18.726
